nation,testname,date,latitude,longitude,yield,time,altitude,testtype,site
USA,TEAPOT-Apple-1,29-Mar-55,37.10 N,116.1 W,14,1255,152,AT,NV
USA,TEAPOT-Wasp Prime,29-Mar-55,37.1 N,116.0 W,3,1800,225,AD,NV
USA,TEAPOT-HA,6-Apr-55,36.8 N,116.0 W,3,1800,11160,AD,NV
USA,TEAPOT-Post,9-Apr-55,37.15 N,116.0 W,2,1230,91,AT,NV
USA,TEAPOT-MET,15-Apr-55,36.8 N,115.95 W,22,1915,122,AT,NV
USA,TEAPOT-Apple-2,5-May-55,37.0 N,116.1 W,28.5,1310,152,AT,NV
USA,Wigwam,14-May-55,29. N,126. W,30,2000,-600,WD,PO
USA,TEAPOT-Zucchini,15-May-55,37.1 N,116.0 W,28,1300,152,AT,NV
USSR,(Joe 15),29-Jul-55,50 N,78 E,1.3,,2.5,AS,KS
USSR,(Joe 16),2-Aug-55,50 N,78 E,11.5,,2.5,AS,KS
USSR,,5-Aug-55,50 N,78 E,1.2,,1.5,AS,KS
USSR,(Joe 17),21-Sep-55,70.72 N,54.38 E,3.5,,-30,WS,NZI
USA,PROJECT 56-Number 1,1-Nov-55,37.0 N,115.95 W,0,2110,0,AS,NV
USA,PROJECT 56-Number 2,3-Nov-55,37.0 N,115.95 W,0,2015,0,AS,NV
USA,PROJECT 56-Number 3,5-Nov-55,37.0 N,115.95 W,0,1855,0,AS,NV
USSR,(Joe 18),6-Nov-55,50. N,83. E,250,450,1000,AD,KS
USSR,(Joe 19),22-Nov-55,50. N,78. E,1600,,1550,AD,KS
USA,PROJECT 56-Number 4,18-Jan-56,37.0 N,115.95 W,0.03,2030,0,AS,NV
USSR,,2-Feb-56,47. N,61. E,0.3,,0,AR,K
USSR,,16-Mar-56,50 N,78 E,13.2,,0.4,AS,KS
USSR,,25-Mar-56,50 N,78 E,5.5,,1,AS,KS
USA,REDWING-Lacrosse,4-May-56,11.557 N,162.355 E,40,1825,5,AS,EN
UK,MOSAIC G1,16-May-56,20.23 S,115.55 E,15,350,31,AT,MN
USA,REDWING-Cherokee,20-May-56,11.71 N,165.30 E,3800,1750,1300,AD,BK
USA,REDWING-Zuni,27-May-56,11.50 N,165.36 E,3500,1756,3,AS,BK
USA,REDWING-Yuma,27-May-56,11.622 N,162.320 E,0.19,1956,62,AT,EN
USA,REDWING-Erie,30-May-56,11.543 N,162.364 E,14.9,1815,91,AT,EN
USA,REDWING-Seminole,6-Jun-56,11.674 N,162.217 E,13.7,55,2,AS,EN
USA,REDWING-Flathead,11-Jun-56,11.68 N,165.39 E,365,1826,5,AW,BK
USA,REDWING-Blackfoot,11-Jun-56,11.550 N,162.359 E,8.5,1826,61,AT,EN
USA,REDWING-Kickapoo,13-Jun-56,11.626 N,162.325 E,1.49,2326,91,AT,EN
USA,REDWING-Osage,16-Jun-56,11.546 N,162.361 E,1.7,114,204,AD,EN
UK,MOSAIC G2,19-Jun-56,20.40 S,115.53 E,98,214,31,AT,MN
USA,REDWING-Inca,21-Jun-56,11.630 N,162.301 E,15.2,2156,61,AT,EN
USA,REDWING-Dakota,25-Jun-56,11.68 N,165.39 E,1100,1806,0,AW,BK
USA,REDWING-Mohawk,2-Jul-56,11.626 N,162.313 E,360,1806,91,AT,EN
USA,REDWING-Apache,8-Jul-56,11.669 N,162.200 E,1850,1806,0,AW,EN
USA,REDWING-Navajo,10-Jul-56,11.68 N,165.39 E,4500,1756,0,AW,BK
USA,REDWING-Tewa,20-Jul-56,11.68 N,165.34 E,5000,1746,0,AW,BK
USA,REDWING-Huron,21-Jul-56,11.670 N,162.202 E,250,1816,0,AW,EN
USSR,,24-Aug-56,50 N,78 E,26.5,,100,AS,KS
USSR,,30-Aug-56,50 N,78 E,900,,1100,A,KS
USSR,,2-Sep-56,50 N,78 E,51,,1050,A,KS
USSR,,10-Sep-56,50 N,78 E,38,,270,A,KS
UK,BUFFALO R1/One Tree,27-Sep-56,30.2 S,131.4 E,15,730,31,AT,MA
UK,BUFFALO R2/Marcoo,4-Oct-56,30.2 S,131.4 E,1.5,700,0.2,AS,MA
UK,BUFFALO R3/Kite,11-Oct-56,30.2 S,131.4 E,3,527,150,AD,MA
UK,BUFFALO R4/Breakaway,22-Oct-56,30.2 S,131.4 E,10,1435,31,AT,MA
USSR,,17-Nov-56,50 N,78 E,900,,2000,A,KS
USSR,,14-Dec-56,50 N,78 E,40,,1965,A,KS
USSR,,19-Jan-57,48 N,44 E,10,,10370,AR,MT
USSR,,8-Mar-57,50 N,78 E,19,,610,A,KS
USSR,,3-Apr-57,50 N,78 E,42,,1100,A,KS
USSR,,6-Apr-57,50 N,78 E,57,,1145,A,KS
USSR,,10-Apr-57,50 N,78 E,680,,2000,A,KS
USSR,,12-Apr-57,50 N,78 E,22,,1145,A,KS
USSR,,16-Apr-57,50 N,78 E,320,,2000,A,KS
USA,PROJECT 57-Number 1,24-Apr-57,37.3 N,116.0 W,0,1327,0,AS,NB
UK,GRAPPLE 1/Short Granite,15-May-57,4.0 S,155.0 W,300,1937,2400,AD,MD
USA,PLUMBOB-Boltzmann,28-May-57,37.1 N,116.0 W,12,1155,152,AT,NV
UK,GRAPPLE 2/Orange Herald,31-May-57,4.0 S,155.0 W,720,1941,2300,AD,MD
USA,PLUMBOB-Franklin,2-Jun-57,37.0 N,116.0 W,0.14,1155,91,AT,NV
USA,PLUMBOB-Lassen,5-Jun-57,37.0 N,116.1 W,0.00047,1145,150,AB,NV
USA,PLUMBOB-Wilson,18-Jun-57,37.15 N,116.0 W,10,1155,150,AB,NV
UK,GRAPPLE 3/Purple Granite,19-Jun-57,4.0 S,155.0 W,200,1940,2300,AD,MD
USA,PLUMBOB-Priscilla,24-Jun-57,36.8 N,115.95 W,37,1330,210,AB,NV
USA,PLUMBOB-Coulomb-A,1-Jul-57,36.8 N,115.95 W,0,1730,0,AS,NV
USA,PLUMBOB-Hood,5-Jul-57,37.15 N,116.0 W,74,1140,460,AB,NV
USA,PLUMBOB-Diablo,15-Jul-57,37.1 N,116.1 W,17,1130,152,AT,NV
USA,PLUMBOB-John,19-Jul-57,37.2 N,116.05 W,1.7,1400:03:00,5640,AR,NV
USA,PLUMBOB-Kepler,24-Jul-57,37.1 N,116.1 W,10,1150,152,AT,NV
USA,PLUMBOB-Owens,25-Jul-57,37.15 N,116.0 W,9.7,1330,150,AB,NV
USA,PLUMBOB-Stokes,7-Aug-57,37.1 N,116.0 W,19,1225,460,AB,NV
USA,PLUMBOB-Shasta,18-Aug-57,37.1 N,116.1 W,17,1200,152,AT,NV
USSR,,22-Aug-57,50 N,78 E,520,,1900,A,KS
USA,PLUMBOB-Doppler,23-Aug-57,37.1 N,116.0 W,11,1230,460,AB,NV
USSR,,26-Aug-57,50 N,78 E,0.1,,410,A,KS
USA,PLUMBOB-Franklin Prime,30-Aug-57,37.1 N,116.0 W,4.7,1240,230,AB,NV
USA,PLUMBOB-Smoky,31-Aug-57,37.1872 N,116.0678 W,44,1230,213,AT,NV
USA,PLUMBOB-Galileo,2-Sep-57,37.0 N,116.1 W,11,1240,152,AT,NV
USA,PLUMBOB-Wheeler,6-Sep-57,37.15 N,116.0 W,0.197,1245,150,AB,NV
USA,PLUMBOB-Coulomb-B,6-Sep-57,37.0 N,116.0 W,0.3,2005,1,AS,NV
USSR,,7-Sep-57,70.70 N,54.74 E,32,,0,AS,NZA
USA,PLUMBOB-Laplace,8-Sep-57,37.1 N,116.0 W,1.25,1300,230,AB,NV
USSR,,13-Sep-57,50 N,78 E,5.9,,780,A,KS
UK,ANTLER Round 1/Tadje,14-Sep-57,30.2 S,131.4 E,0.93,505,31,AT,MA
USA,PLUMBOB-Fizeau,14-Sep-57,37.0 N,116.0 W,11,1645,152,AT,NV
USA,PLUMBOB-Newton,16-Sep-57,37.1 N,116.0 W,12,1250,460,AB,NV
USA,PLUMBOB-Whitney,23-Sep-57,37.1 N,116.1 W,19,1230,152,AT,NV
USSR,,24-Sep-57,73.8 N,55.0 E,1600,900,2000,AD,NZN
UK,ANTLER Round 2/Biak,25-Sep-57,30.2 S,131.4 E,6,30,31,AT,MA
USSR,,26-Sep-57,50 N,78 E,13,500,2000,A,KS
USA,PLUMBOB-Charleston,28-Sep-57,37.15 N,116.0 W,12,1300,460,AB,NV
USSR,,6-Oct-57,73.8 N,55.0 E,2900,858,2120,A,NZN
USA,PLUMBOB-Morgan,7-Oct-57,37.15 N,116.0 W,8,1300,150,AB,NV
UK,ANTLER Round 3/Taranaki,9-Oct-57,30.2 S,131.4 E,26.6,645,300,AB,MA
USSR,,10-Oct-57,70.7 N,54.4 E,10,655,,W,NZI
UK,Grapple X/Round C,8-Nov-57,2. N,157. W,1800,1747,2250,AD,CH
USA,PROJECT 58-Coulomb-C,9-Dec-57,37.0 N,116.1 W,0.5,2000,0,AS,NV
USSR,,4-Jan-58,50 N,78 E,1.3,,615,A,KS
USSR,,17-Jan-58,50 N,78 E,0.5,,400,A,KS
USSR,,23-Feb-58,73.8 N,55.0 E,860,,500,A,KS
USSR,,27-Feb-58,73.8 N,55.0 E,250,759,2500,A,NZN
USSR,,27-Feb-58,73.8 N,55.0 E,1500,1024,2500,A,NZN
USSR,,13-Mar-58,50 N,78 E,1.2,,,A,NZN
USSR,,14-Mar-58,50 N,78 E,35,,475,A,KS
USSR,,14-Mar-58,73.8 N,55.0 E,40,,1030,A,KS
USSR,,15-Mar-58,50 N,78 E,14,,,A,NZN
USSR,,18-Mar-58,50 N,78 E,0.16,,965,A,KS
USSR,,20-Mar-58,50 N,78 E,12,,290,A,KS
USSR,,21-Mar-58,73.8 N,55.0 E,650,,1015,A,KS
USSR,,22-Mar-58,50 N,78 E,18,,2500,A,NZN
USA,HARDTACK I-Yucca,28-Apr-58,12.62 N,163.02 E,1.7,240,1415,A,KS
UK,Grapple Y,28-Apr-58,2. N,157. W,2000,1905,26000,AB,PO
USA,HARDTACK I-Cactus,5-May-58,11.555 N,162.354 E,18,1815,2350,AD,CH
USA,HARDTACK I-Fir,11-May-58,11.69 N,165.27 E,1360,1750,0,AS,EN
USA,HARDTACK I-Butternut,11-May-58,11.485 N,162.351 E,81,1815,0,AW,BK
USA,HARDTACK I-Koa,12-May-58,11.673 N,162.206 E,1370,1830,0,AW,EN
USA,HARDTACK I-Wahoo,16-May-58,11.3447 N,162.1789 E,9,10:00.5,1,AS,EN
USA,HARDTACK I-Holly,20-May-58,11.543 N,162.356 E,5.9,1830,-150,WD,EN
USA,HARDTACK I-Nutmeg,21-May-58,11.50 N,165.36 E,25.1,2120,0,AW,EN
USA,HARDTACK I-Yellowwood,26-May-58,11.658 N,162.225 E,330,200,0,AW,BK
USA,HARDTACK I-Magnolia,26-May-58,11.542 N,162.354 E,57,1800,0,AW,EN
USA,HARDTACK I-Tobacco,30-May-58,11.661 N,162.230 E,11.6,215,0,AW,EN
USA,HARDTACK I-Sycamore,31-May-58,11.69 N,165.27 E,92,300,0,AW,EN
USA,HARDTACK I-Rose,2-Jun-58,11.485 N,162.351 E,15,1845,0,AW,BK
USA,HARDTACK I-Umbrella,8-Jun-58,11.3808 N,162.2192 E,8,15:00.2,0,AW,EN
USA,HARDTACK I-Maple,10-Jun-58,11.69 N,165.41 E,213,1730,-55,WB,EN
USA,HARDTACK I-Aspen,14-Jun-58,11.69 N,165.27 E,319,1730,0,AW,BK
USA,HARDTACK I-Walnut,14-Jun-58,11.658 N,162.225 E,1450,1830,0,AW,BK
USA,HARDTACK I-Linden,18-Jun-58,11.543 N,162.356 E,11,300,0,AW,EN
USA,HARDTACK I-Redwood,27-Jun-58,11.69 N,165.41 E,412,1730,0,AW,EN
USA,HARDTACK I-Elder,27-Jun-58,11.661 N,162.230 E,880,1830,0,AW,BK
USA,HARDTACK I-Oak,28-Jun-58,11.606 N,162.108 E,8900,1930,0,AW,EN
USA,HARDTACK I-Hickory,29-Jun-58,11.50 N,165.36 E,14,0,0,AW,EN
USA,HARDTACK I-Sequoia,1-Jul-58,11.543 N,162.356 E,5.2,1830,0,AW,BK
USA,HARDTACK I-Cedar,2-Jul-58,11.69 N,165.27 E,220,1730,0,AW,EN
USA,HARDTACK I-Dogwood,5-Jul-58,11.661 N,162.230 E,397,1830,0,AW,BK
USA,HARDTACK I-Poplar,12-Jul-58,11.69 N,165.27 E,9300,330,0,AW,EN
USA,HARDTACK I-Scaevola,14-Jul-58,11.545 N,162.360 E,0,400,0,AW,BK
USA,HARDTACK I-Pisonia,17-Jul-58,11.547 N,162.327 E,255,2300,0,AW,EN
USA,HARDTACK I-Juniper,22-Jul-58,11.50 N,165.36 E,65,420,0,AW,EN
USA,HARDTACK I-Olive,22-Jul-58,11.661 N,162.230 E,202,2030,0,AW,BK
USA,HARDTACK I-Pine,26-Jul-58,11.654 N,162.219 E,2000,2030,0,AW,EN
USA,HARDTACK I-Teak,1-Aug-58,16.72 N,169.55 W,3800,950,0,AW,EN
USA,HARDTACK I-Quince,6-Aug-58,11.549 N,162.359 E,0,215,76800,AR,JO
USA,HARDTACK I-Orange,12-Aug-58,16.35 N,169.55 W,3800,930,0,AS,EN
USA,HARDTACK I-Fig,18-Aug-58,11.549 N,162.359 E,0.022,400,43000,AR,JO
UK,GRAPPLE Z-Pennant 2,22-Aug-58,2. N,157. W,35,1800,0,AS,EN
USA,Argus I,27-Aug-58,38.7 S,11.9 W,1.5,200,450,AB,CH
USA,Argus II,30-Aug-58,49.4 S,8.7 W,1.5,310,490000,AR,AS
UK,GRAPPLE Z-Flagpole 1,2-Sep-58,2. N,157. W,2750,1724,490000,AR,AS
USA,Argus III,6-Sep-58,49.5 S,10.4 W,1.5,2205,2850,AD,CH
UK,GRAPPLE Z-Halliard 1,11-Sep-58,2. N,157. W,2750,1749,490000,AR,AS
USA,HARDTACK II-Eddy,19-Sep-58,37.1 N,116.0 W,0.083,1400,2650,AD,CH
UK,GRAPPLE Z-Burgee 2,23-Sep-58,2. N,157. W,35,1800,150,AB,NV
USA,HARDTACK II-Mora,29-Sep-58,37.1 N,116.0 W,2,1405,450,AB,CH
USSR,,30-Sep-58,73.8 N,55.0 E,1200,750,460,AB,NV
USSR,,30-Sep-58,73.8 N,55.0 E,900,955,1500,A,NZN
USSR,,2-Oct-58,73.8 N,55.0 E,290,800,2500,A,NZN
USSR,,2-Oct-58,73.8 N,55.0 E,40,901,1400,A,NZN
USSR,,4-Oct-58,73.8 N,55.0 E,9,,,A,NZN
USSR,,5-Oct-58,73.8 N,55.0 E,15,600,800,A,NZN
USA,HARDTACK II-Hidalgo,5-Oct-58,37.1 N,116.0 W,0.0055,1410,1200,A,NZN
USSR,,6-Oct-58,73.8 N,55.0 E,5.5,,115,AB,NV
USSR,,10-Oct-58,73.8 N,55.0 E,68,751,1200,A,NZN
USA,HARDTACK II-Quay,10-Oct-58,37.1 N,116.0 W,0.079,1430,,A,NZN
USSR,,12-Oct-58,73.8 N,55.0 E,1450,753,30,AT,NV
USA,HARDTACK II-Lea,13-Oct-58,37.1 N,116.0 W,1.4,1320,,A,NZN
USSR,,15-Oct-58,73.8 N,55.0 E,1500,751,460,AB,NV
USA,HARDTACK II-Hamilton,15-Oct-58,36.8 N,115.95 W,0.0012,1600,2150,A,NZN
USA,HARDTACK II-Dona Ana,16-Oct-58,37.1 N,116.0 W,0.037,1420,15,AT,NV
USA,HARDTACK II-Vesta,17-Oct-58,37.1 N,116.0 W,0.024,2300,137,AB,NV
USSR,,18-Oct-58,73.8 N,55.0 E,2900,951,0,AS,NV
USA,HARDTACK II-Rio Arriba,18-Oct-58,37.0 N,116.0 W,0.09,1425,,A,NZN
USSR,,19-Oct-58,73.8 N,55.0 E,40,727,22.1,AT,NV
USSR,,19-Oct-58,73.8 N,55.0 E,0.0005,,,A,NZN
USSR,,20-Oct-58,73.8 N,55.0 E,440,820,900,A,NZN
USSR,,21-Oct-58,73.8 N,55.0 E,2,,,A,NZN
USSR,,22-Oct-58,73.8 N,55.0 E,2800,821,270,A,NZN
USA,HARDTACK II-Socorro,22-Oct-58,37.1 N,116.0 W,6,1330,2070,A,NZN
USA,HARDTACK II-Wrangell,22-Oct-58,36.8 N,115.95 W,0.115,1650,440,AB,NV
USA,HARDTACK II-Oberon,22-Oct-58,37.2 N,116.1 W,0.188,2030,460,AB,NV
USA,HARDTACK II-Rushmore,22-Oct-58,37.1 N,116.0 W,0,2340,7.6,AT,NV
USSR,,24-Oct-58,73.8 N,55.0 E,1000,803,150,AB,NV
USA,HARDTACK II-Catron,24-Oct-58,37.0 N,116.0 W,0.021,1500,1525,A,NZN
USA,HARDTACK II-Juno,24-Oct-58,37.1 N,116.0 W,0.0017,1601,22.1,AT,NV
USSR,,25-Oct-58,73.8 N,55.0 E,190,820,0,AS,NV
USSR,,25-Oct-58,73.8 N,55.0 E,0.05,,1500,A,NZN
USA,HARDTACK II-Ceres,26-Oct-58,37.2 N,116.1 W,0.0007,400,300,A,NZN
USA,HARDTACK II-Sanford,26-Oct-58,36.8 N,115.95 W,4.9,1020,7.6,AT,NV
USA,HARDTACK II-De Baca,26-Oct-58,37.1 N,116.0 W,2.2,1600,460,AB,NV
USA,HARDTACK II-Chavez,27-Oct-58,37.0 N,116.0 W,0.0006,1430,460,AB,NV
USA,HARDTACK II-Mazama,29-Oct-58,37.1 N,116.0 W,0.0078,1120,16,AT,NV
USA,HARDTACK II-Humboldt,29-Oct-58,37.0 N,116.0 W,0,1445,15,AT,NV
USA,HARDTACK II-Santa Fe,30-Oct-58,37.1 N,116.0 W,1.3,300,7.6,AT,NV
USA,HARDTACK II-Ganymede,30-Oct-58,37.1 N,116.0 W,22,1100,460,AB,NV
USA,HARDTACK II-Titania,30-Oct-58,37.2 N,116.1 W,0.0002,2034,0,AS,NV
USSR,,1-Nov-58,48 N,44 E,10,,7.6,AT,NV
USSR,,3-Nov-58,48 N,44 E,10,,12000,AR,MT
France,Gerboise Bleue,13-Feb-60,26.317 N,0.067 W,65,704,107,AT,RE
France,Gerboise Blanche,1-Apr-60,26.06 N,0.09 W,15,617,,AS,RE
France,Gerboise Rouge,27-Dec-60,27. N,0. W,5,730,100,AT,RE
France,Gerboise Verte,25-Apr-61,27. N,0. W,0.5,00:00.0,,AT,RE
USSR,,1-Sep-61,50. N,78. E,16,,660,A,KS
USSR,,4-Sep-61,50. N,78. E,9,,725,A,KS
USSR,,5-Sep-61,50. N,78. E,16,,500,A,KS
USSR,,6-Sep-61,50 N,78 E,1.1,,685,A,KS
USSR,,6-Sep-61,48.45 N,44.30 E,16,,22700,AR,MT
USSR,,9-Sep-61,50 N,78 E,0.38,,0,AS,KS
USSR,,10-Sep-61,73.8 N,55.0 E,2700,900,2000,A,NZN
USSR,,10-Sep-61,73.8 N,55.0 E,12,,390,A,NZN
USSR,,10-Sep-61,50 N,78 E,0.88,,180,A,KS
USSR,,11-Sep-61,50 N,78 E,0.3,,,A,KS
USSR,,12-Sep-61,73.8 N,55.0 E,1150,1008,1190,A,NZN
USSR,,13-Sep-61,73.8 N,55.0 E,6,,250,A,NZN
USSR,,13-Sep-61,50. N,78. E,20,,710,A,KS
USSR,,14-Sep-61,50 N,78 E,0.4,,0,AS,KS
USSR,,14-Sep-61,74.6 N,51.1 E,1200,56:16.7,1700,A,NZN
USSR,,16-Sep-61,73.8 N,55.0 E,830,908,,A,NZN
USSR,,17-Sep-61,50. N,78. E,60,,695,A,KS
USSR,,18-Sep-61,74. N,52. E,1000,39:36.8,1500,A,NZN
USSR,,18-Sep-61,50 N,78 E,0.004,,1,AS,KS
USSR,,18-Sep-61,50 N,78 E,0.75,,,A,KS
USSR,,19-Sep-61,50 N,78 E,0.03,,0,AS,KS
USSR,,20-Sep-61,50 N,78 E,4.8,,280,A,KS
USSR,,20-Sep-61,73.8 N,55.0 E,1000,812,1600,A,NZN
USSR,,21-Sep-61,50 N,78 E,0.8,,110,A,KS
USSR,,22-Sep-61,73.8 N,55.0 E,260,801,1300,A,NZN
USSR,,26-Sep-61,50 N,78 E,1.2,,665,A,KS
USSR,,1-Oct-61,50 N,78 E,3,,700,A,KS
USSR,,2-Oct-61,73.8 N,55.0 E,250,1031,1500,A,NZN
USSR,,4-Oct-61,50 N,78 E,13,,605,A,KS
USSR,,4-Oct-61,73.7 N,53.8 E,10000,10:54.8,2100,A,NZN
USSR,,6-Oct-61,73.8 N,55.0 E,4000,700,2700,A,NZN
USSR,,6-Oct-61,48. N,44. E,40,,41300,AR,MT
USSR,,8-Oct-61,73.8 N,55.0 E,15,,1450,A,NZN
